method,reward_mean,reward_std,avg_responseT_mean,avg_responseT_std,success_rate_mean,success_rate_std,success_time_rate_mean,success_time_rate_std,finishT_mean,finishT_std,Cost_mean,Cost_std,cost_per_success_mean,cost_per_success_std,malicious_rate_mean,malicious_rate_std,trusted_rate_mean,trusted_rate_std,audit_rate_mean,audit_rate_std,audit_fail_rate_mean,audit_fail_rate_std,audit_truth_mean_mean,audit_truth_mean_std,audit_detect_mean,audit_detect_std,primary_success_rate_mean,primary_success_rate_std,backup_used_rate_mean,backup_used_rate_std,backup_recovery_rate_mean,backup_recovery_rate_std,conditional_backup_recovery_rate_mean,conditional_backup_recovery_rate_std,backup_skipped_rate_mean,backup_skipped_rate_std,backup_score_mean_mean,backup_score_mean_std,single_mode_rate_mean,single_mode_rate_std,serial_mode_rate_mean,serial_mode_rate_std,parallel_mode_rate_mean,parallel_mode_rate_std
Random,1023.7090000000001,26.712149316577126,5.1793,0.022281282628151464,55.23100000000001,0.7007686256295061,97.07300000000001,0.33754176696291216,48652.199,698.5241810727326,0.4726,0.006239658110292031,0.8557,0.012508219519802013,19.839,0.6219405116247051,60.205999999999996,0.9103015373429254,7.956,0.40252536151982604,4.537,0.33276785368248,0.47430000000000005,0.010435516278555641,,,,,,,,,,,,,,,,,,,,
Round-Robin,1232.92,30.48398559535446,5.0735,0.007261006970263708,59.698,0.9583527534264198,99.922,0.05287301349039633,48652.093,698.5344951483947,0.472,0.0,0.7916000000000001,0.012545030003064062,20.0,0.0,60.0,0.0,7.534999999999999,0.30122896422636525,3.964,0.16800793632048067,0.5018,0.01321447018318262,,,,,,,,,,,,,,,,,,,,
Earliest,1244.7930000000001,37.674810343841706,5.0728,0.007238784428342012,60.068,0.9906989676205596,99.932,0.03994440581052028,48652.092,698.532492711209,0.472,0.0,0.7858,0.013002563849743904,20.049,0.02282785822435059,59.974000000000004,0.027968235951202847,7.679,0.3367310169523705,4.147,0.2556060336620488,0.5046,0.016847024135503087,,,,,,,,,,,,,,,,,,,,
BLOR,688.86,36.2172865417116,5.332800000000001,0.019959959919799274,47.83,1.0516019525783824,94.296,0.3579944133642275,48652.351,698.534090768343,0.5646,0.008921883209278109,1.1808,0.027046462081224493,11.251,0.5609010607941478,73.91799999999999,1.0754719894074392,7.107000000000001,0.31255399533520595,4.168,0.25589928574430276,0.4034,0.014683323874382122,,,,,,,,,,,,,,,,,,,,
SemiGreedy,110.12899999999999,51.83102555419871,5.3524,0.08085542653403048,29.714,2.161888063707276,91.167,0.9793654408169952,48652.371999999996,698.5334753260654,0.3744,0.0407654537840832,1.2581,0.06748242569571562,8.869,1.1795333352173174,76.08500000000001,2.787484927712114,8.128,0.47676688923064553,6.004,0.45949730987001197,0.3073,0.0118981791323995,,,,,,,,,,,,,,,,,,,,
DQN,1016.1970000000001,77.58256820961779,5.551900000000001,0.061305156571222964,63.85699999999999,1.6211110730332794,89.783,1.318779317736246,48652.573,698.5205888009942,0.8333,0.018318478830587046,1.3057,0.037558990638431426,2.05,0.27776888874666217,94.202,1.0006753275219238,5.964,0.38456902284678823,2.307,0.13896842167277512,0.4791,0.015372775358477775,,,,,,,,,,,,,,,,,,,,
PPO,1437.165,38.28654978506743,5.4199,0.024973096635290484,72.414,0.9914994256736163,93.479,0.4016479940334718,48652.44,698.530540810096,0.7405,0.010987366482566341,1.0224,0.013393198937437427,2.649,0.571731288864504,91.949,0.9888090479629202,6.316,0.4989589161444061,1.892,0.33561883141444854,0.5579,0.01865148191908022,,,,,,,,,,,,,,,,,,,,
RA-DDQN,692.254,183.26390892795985,5.7378,0.1326530981336073,56.152,4.233634634946929,85.799,2.542572843925348,48652.757,698.4919316490987,0.7809,0.046256410967081704,1.3938000000000001,0.07334515056301347,2.957,1.3004704277042727,91.92699999999999,1.9485667097182524,6.623,0.3253732898960481,3.002,0.4628846748621326,0.4878,0.020219902186816963,,,,,,,,,,,,,,,,,,,,
PB-SafeDQN,830.2049999999999,95.11597099798166,5.4322,0.059877281909659845,62.093999999999994,3.4317575671949774,90.955,1.053726192560903,48653.381,698.5355505062796,1.0507,0.07685346807760568,1.6911999999999998,0.06414532112494424,5.996,2.546872592023402,81.081,11.254828544031913,14.037,0.6999531730369144,9.071000000000002,0.49388370201000875,0.38530000000000003,0.013449907062875936,,,24.232999999999997,2.9900689326873766,92.449,7.627719114446261,37.859,4.273680303126725,40.882999999999996,2.351633238600121,7.551,7.627668130635412,0.5032,0.020219902186816945,100.0,0.0,0.0,0.0,0.0,0.0
COBRA-Oracle,759.644,106.26477018383011,5.5455,0.08769042770514415,63.15599999999999,2.4110219133526494,89.126,1.3145696380691756,48653.486,698.5397069633518,1.1274000000000002,0.05729106969385948,1.7861999999999998,0.08161263518734226,25.486,9.315256542062835,67.848,8.570342661372024,13.898,0.8292808129136157,8.84,0.8303011501858826,0.3702,0.031247399891830993,,,27.927,4.344421838531695,92.14,6.695708409952687,35.227999999999994,5.3507233155901455,38.079,3.6698121356700404,7.859,6.696311505431762,0.5045,0.024582062114024906,100.0,0.0,0.0,0.0,0.0,0.0
HCRL-Oracle,1193.2279999999998,137.74864321170884,5.3684,0.05123410322561867,76.559,0.9957961638809446,94.931,0.9091687289924659,48654.159999999996,698.4647624771214,1.1495,0.04450780206260971,1.5015,0.06359463639158396,0.47000000000000003,0.8383581838596461,90.683,7.094561375526408,13.235,0.5833666657143399,6.687,0.5608733269543926,0.4826,0.024327396536050098,,,49.733999999999995,3.3669544431462453,97.83500000000001,0.8640248196023601,26.828000000000003,3.139252564969354,27.421,3.199022246458022,2.165,0.8654382319572747,0.43979999999999997,0.027812067724480853,2.165,0.8654382319572747,41.463,3.7668673987811143,56.374,3.93134469502626
